"genome"	"Sample_name"	"Relative_abundance"	"Completeness"	"Contamination"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Family_genus"	"Family_genus_bin"	"DNA_kit"	"Storage"	"Volume_used"
"NitrifyingCombined_complete.14"	"NitrifyingCombined.fastq.gz"	0.2283	99.06	2.52	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*SP197*"	"*SP197*"	"*CALGGB01*"	"**Unidentified species**"	"*SP197*, *CALGGB01*"	"*SP197*, *CALGGB01* (NitrifyingCombined_complete.14)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.27"	"NitrifyingCombined.fastq.gz"	0.332	99.93	0.27	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Caulobacterales*"	"*TH1-2*"	"*Vitreimonas*"	"**Unidentified species**"	"*TH1-2*, *Vitreimonas*"	"*TH1-2*, *Vitreimonas* (NitrifyingCombined_complete.27)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.3"	"NitrifyingCombined.fastq.gz"	0.5165	95.16	0.11	"d__Bacteria"	"*Deinococcota*"	"*Deinococci*"	"*Deinococcales*"	"*Trueperaceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Trueperaceae*, **Unidentified genus**"	"*Trueperaceae*, **Unidentified genus** (NitrifyingCombined_complete.3)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.32"	"NitrifyingCombined.fastq.gz"	0.3355	95.39	0.24	"d__Bacteria"	"*Planctomycetota*"	"*Planctomycetia*"	"*Pirellulales*"	"*Lacipirellulaceae*"	"*Bythopirellula*"	"**Unidentified species**"	"*Lacipirellulaceae*, *Bythopirellula*"	"*Lacipirellulaceae*, *Bythopirellula* (NitrifyingCombined_complete.32)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.40"	"NitrifyingCombined.fastq.gz"	0.2048	99.98	2.82	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Aquamicrobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Aquamicrobium_A*"	"*Rhizobiaceae*, *Aquamicrobium_A* (NitrifyingCombined_complete.40)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.43"	"NitrifyingCombined.fastq.gz"	0.3097	100	0.9	"d__Bacteria"	"*Acidobacteriota*"	"*Vicinamibacteria*"	"*Vicinamibacterales*"	"*Vicinamibacteraceae*"	"*JAEZDP01*"	"**Unidentified species**"	"*Vicinamibacteraceae*, *JAEZDP01*"	"*Vicinamibacteraceae*, *JAEZDP01* (NitrifyingCombined_complete.43)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.44"	"NitrifyingCombined.fastq.gz"	0.2098	100	0.43	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Sphingomonadales*"	"*Sphingomonadaceae*"	"*Allosphingosinicella*"	"**Unidentified species**"	"*Sphingomonadaceae*, *Allosphingosinicella*"	"*Sphingomonadaceae*, *Allosphingosinicella* (NitrifyingCombined_complete.44)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.45"	"NitrifyingCombined.fastq.gz"	0.2289	97.71	1.94	"d__Bacteria"	"*Actinomycetota*"	"*Acidimicrobiia*"	"*Acidimicrobiales*"	"*Ilumatobacteraceae*"	"*Desertimonas*"	"**Unidentified species**"	"*Ilumatobacteraceae*, *Desertimonas*"	"*Ilumatobacteraceae*, *Desertimonas* (NitrifyingCombined_complete.45)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.48"	"NitrifyingCombined.fastq.gz"	0.2719	99.99	1.74	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Tepidamorphaceae*"	"*Tepidamorphus*"	"**Unidentified species**"	"*Tepidamorphaceae*, *Tepidamorphus*"	"*Tepidamorphaceae*, *Tepidamorphus* (NitrifyingCombined_complete.48)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.5"	"NitrifyingCombined.fastq.gz"	0.1725	100	0.1	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Sphingomonadales*"	"*Sphingomonadaceae*"	"*Sphingosinicella*"	"*Sphingosinicella sp019454625*"	"*Sphingomonadaceae*, *Sphingosinicella*"	"*Sphingomonadaceae*, *Sphingosinicella* (NitrifyingCombined_complete.5)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.50"	"NitrifyingCombined.fastq.gz"	3.0751	100	1.46	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhodobacterales*"	"*Rhodobacteraceae*"	"*Pararhodobacter*"	"**Unidentified species**"	"*Rhodobacteraceae*, *Pararhodobacter*"	"*Rhodobacteraceae*, *Pararhodobacter* (NitrifyingCombined_complete.50)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.7"	"NitrifyingCombined.fastq.gz"	1.8809	100	0.67	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Aquamicrobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Aquamicrobium_A*"	"*Rhizobiaceae*, *Aquamicrobium_A* (NitrifyingCombined_complete.7)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.75"	"NitrifyingCombined.fastq.gz"	0.0954	96.73	1.47	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Anaerolineales*"	"*UBA11579*"	"*JAMCZK01*"	"*JAMCZK01 sp019637805*"	"*UBA11579*, *JAMCZK01*"	"*UBA11579*, *JAMCZK01* (NitrifyingCombined_complete.75)"	"Combined data"	""	"Combined"
"NitrifyingCombined_complete.9"	"NitrifyingCombined.fastq.gz"	0.2598	93.45	2.8	"d__Bacteria"	"*Chloroflexota*"	"*Dehalococcoidia*"	"*UBA2979*"	"*UBA2979*"	"*W-Chloroflexi-9*"	"**Unidentified species**"	"*UBA2979*, *W-Chloroflexi-9*"	"*UBA2979*, *W-Chloroflexi-9* (NitrifyingCombined_complete.9)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.11"	"NitrifyingCombined.fastq.gz"	0.8344	99.98	0.46	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Mesorhizobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Mesorhizobium_A*"	"*Rhizobiaceae*, *Mesorhizobium_A* (NitrifyingCombined_metaMDBG_complete.11)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.14"	"NitrifyingCombined.fastq.gz"	0.14	98.63	0.54	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Burkholderiales*"	"*Burkholderiaceae*"	"*Zeimonas*"	"**Unidentified species**"	"*Burkholderiaceae*, *Zeimonas*"	"*Burkholderiaceae*, *Zeimonas* (NitrifyingCombined_metaMDBG_complete.14)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.15"	"NitrifyingCombined.fastq.gz"	0.1311	99.19	0.58	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*GCA-2729495*"	"*GCA-2729495*"	"*SHZI01*"	"**Unidentified species**"	"*GCA-2729495*, *SHZI01*"	"*GCA-2729495*, *SHZI01* (NitrifyingCombined_metaMDBG_complete.15)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.16"	"NitrifyingCombined.fastq.gz"	0.1513	100	0.24	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Caulobacterales*"	"*TH1-2*"	"*Vitreimonas*"	"**Unidentified species**"	"*TH1-2*, *Vitreimonas*"	"*TH1-2*, *Vitreimonas* (NitrifyingCombined_metaMDBG_complete.16)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.27"	"NitrifyingCombined.fastq.gz"	0.1498	99.96	0	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Burkholderiales*"	"*Nitrosomonadaceae*"	"*Nitrosomonas*"	"**Unidentified species**"	"*Nitrosomonadaceae*, *Nitrosomonas*"	"*Nitrosomonadaceae*, *Nitrosomonas* (NitrifyingCombined_metaMDBG_complete.27)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.31"	"NitrifyingCombined.fastq.gz"	0.2025	100	1.24	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Reyranellales*"	"*JAQSWP01*"	"*JAQSWP01*"	"**Unidentified species**"	"*JAQSWP01*, *JAQSWP01*"	"*JAQSWP01*, *JAQSWP01* (NitrifyingCombined_metaMDBG_complete.31)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.43"	"NitrifyingCombined.fastq.gz"	0.524	99.86	0.1	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Hyphomicrobiaceae*"	"*Ga0077530*"	"**Unidentified species**"	"*Hyphomicrobiaceae*, *Ga0077530*"	"*Hyphomicrobiaceae*, *Ga0077530* (NitrifyingCombined_metaMDBG_complete.43)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.45"	"NitrifyingCombined.fastq.gz"	0.1445	98.76	0.49	"d__Bacteria"	"*Bdellovibrionota*"	"*Bdellovibrionia*"	"*Bdellovibrionales*"	"*JAMLIO01*"	"*JAMLIO01*"	"**Unidentified species**"	"*JAMLIO01*, *JAMLIO01*"	"*JAMLIO01*, *JAMLIO01* (NitrifyingCombined_metaMDBG_complete.45)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.55"	"NitrifyingCombined.fastq.gz"	1.0364	99.99	0.27	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Parvibaculales*"	"*Parvibaculaceae*"	"*Parvibaculum*"	"**Unidentified species**"	"*Parvibaculaceae*, *Parvibaculum*"	"*Parvibaculaceae*, *Parvibaculum* (NitrifyingCombined_metaMDBG_complete.55)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.72"	"NitrifyingCombined.fastq.gz"	0.8046	100	0.37	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Caulobacterales*"	"*TH1-2*"	"*Vitreimonas*"	"*Vitreimonas sp024707365*"	"*TH1-2*, *Vitreimonas*"	"*TH1-2*, *Vitreimonas* (NitrifyingCombined_metaMDBG_complete.72)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.75"	"NitrifyingCombined.fastq.gz"	0.4751	100	0.05	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Xanthomonadales*"	"*UBA2363*"	"*Pseudofulvimonas*"	"**Unidentified species**"	"*UBA2363*, *Pseudofulvimonas*"	"*UBA2363*, *Pseudofulvimonas* (NitrifyingCombined_metaMDBG_complete.75)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_complete.85"	"NitrifyingCombined.fastq.gz"	0.1877	99.9	0.1	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*RCIO01*"	"**Unidentified species**"	"*Rhizobiaceae*, *RCIO01*"	"*Rhizobiaceae*, *RCIO01* (NitrifyingCombined_metaMDBG_complete.85)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_metabat2.33"	"NitrifyingCombined.fastq.gz"	0.0911	98.81	1.6	"d__Bacteria"	"*Gemmatimonadota*"	"*Gemmatimonadetes*"	"*Longimicrobiales*"	"*RSA9*"	"**Unidentified genus**"	"**Unidentified species**"	"*RSA9*, **Unidentified genus**"	"*RSA9*, **Unidentified genus** (NitrifyingCombined_metaMDBG_metabat2.33)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_metabat2.5"	"NitrifyingCombined.fastq.gz"	0.1376	95.66	2.12	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Sphingobacteriales*"	"*Sphingobacteriaceae*"	"*Parapedobacter*"	"**Unidentified species**"	"*Sphingobacteriaceae*, *Parapedobacter*"	"*Sphingobacteriaceae*, *Parapedobacter* (NitrifyingCombined_metaMDBG_metabat2.5)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_metabat2.68"	"NitrifyingCombined.fastq.gz"	0.146	90.39	1.47	"d__Bacteria"	"*Eremiobacterota*"	"*Xenobia*"	"*Xenobiales*"	"*JADMJV01*"	"*JAEXNA01*"	"**Unidentified species**"	"*JADMJV01*, *JAEXNA01*"	"*JADMJV01*, *JAEXNA01* (NitrifyingCombined_metaMDBG_metabat2.68)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_metabat2.7"	"NitrifyingCombined.fastq.gz"	0.1193	99.9	0.08	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Hyphomicrobiaceae*"	"*Hyphomicrobium_C*"	"**Unidentified species**"	"*Hyphomicrobiaceae*, *Hyphomicrobium_C*"	"*Hyphomicrobiaceae*, *Hyphomicrobium_C* (NitrifyingCombined_metaMDBG_metabat2.7)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_metabat2.91"	"NitrifyingCombined.fastq.gz"	0.1048	98.3	0.01	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Chitinophagales*"	"*Chitinophagaceae*"	"*Flavipsychrobacter*"	"**Unidentified species**"	"*Chitinophagaceae*, *Flavipsychrobacter*"	"*Chitinophagaceae*, *Flavipsychrobacter* (NitrifyingCombined_metaMDBG_metabat2.91)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_metabat2.97"	"NitrifyingCombined.fastq.gz"	0.1555	95.03	1.64	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Aquamicrobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Aquamicrobium_A*"	"*Rhizobiaceae*, *Aquamicrobium_A* (NitrifyingCombined_metaMDBG_metabat2.97)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_semibin2_14"	"NitrifyingCombined.fastq.gz"	0.1492	91.68	1.67	"d__Bacteria"	"*Chloroflexota*"	"*Chloroflexia*"	"*Thermomicrobiales*"	"*UBA6265*"	"*JACCYK01*"	"**Unidentified species**"	"*UBA6265*, *JACCYK01*"	"*UBA6265*, *JACCYK01* (NitrifyingCombined_metaMDBG_semibin2_14)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_semibin2_18"	"NitrifyingCombined.fastq.gz"	0.0941	87.01	2	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Caldilineales*"	"*Caldilineaceae*"	"*QEUY01*"	"**Unidentified species**"	"*Caldilineaceae*, *QEUY01*"	"*Caldilineaceae*, *QEUY01* (NitrifyingCombined_metaMDBG_semibin2_18)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_semibin2_28"	"NitrifyingCombined.fastq.gz"	0.0686	93.68	3.02	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Legionellales*"	"*Legionellaceae*"	"*Legionella*"	"**Unidentified species**"	"*Legionellaceae*, *Legionella*"	"*Legionellaceae*, *Legionella* (NitrifyingCombined_metaMDBG_semibin2_28)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metaMDBG_semibin2_3"	"NitrifyingCombined.fastq.gz"	0.0771	95.35	1.2	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*Crocinitomicaceae*"	"*Taishania*"	"**Unidentified species**"	"*Crocinitomicaceae*, *Taishania*"	"*Crocinitomicaceae*, *Taishania* (NitrifyingCombined_metaMDBG_semibin2_3)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metabat2.123"	"NitrifyingCombined.fastq.gz"	0.1696	100	0.39	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Xanthomonadales*"	"*Xanthomonadaceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Xanthomonadaceae*, **Unidentified genus**"	"*Xanthomonadaceae*, **Unidentified genus** (NitrifyingCombined_metabat2.123)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metabat2.198"	"NitrifyingCombined.fastq.gz"	0.1575	86.12	2.7	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Caldilineales*"	"*Caldilineaceae*"	"*CFX5*"	"**Unidentified species**"	"*Caldilineaceae*, *CFX5*"	"*Caldilineaceae*, *CFX5* (NitrifyingCombined_metabat2.198)"	"Combined data"	""	"Combined"
"NitrifyingCombined_metabat2.75"	"NitrifyingCombined.fastq.gz"	0.1585	95.77	1.33	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Aquamicrobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Aquamicrobium_A*"	"*Rhizobiaceae*, *Aquamicrobium_A* (NitrifyingCombined_metabat2.75)"	"Combined data"	""	"Combined"
"NitrifyingCombined_semibin2_12"	"NitrifyingCombined.fastq.gz"	0.0885	84.21	0.04	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Devosiaceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Devosiaceae*, **Unidentified genus**"	"*Devosiaceae*, **Unidentified genus** (NitrifyingCombined_semibin2_12)"	"Combined data"	""	"Combined"
"QpsNitrifying4mlFrozenRep1_complete.16"	"NitrifyingCombined.fastq.gz"	0.8777	98.83	0.01	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Pseudaminobacter*"	"**Unidentified species**"	"*Rhizobiaceae*, *Pseudaminobacter*"	"*Rhizobiaceae*, *Pseudaminobacter* (QpsNitrifying4mlFrozenRep1_complete.16)"	"Combined data"	""	"Combined"
"QpsNitrifying4mlFrozenRep1_complete.20"	"NitrifyingCombined.fastq.gz"	2.5594	99.97	0.38	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Sphingomonadales*"	"*Sphingomonadaceae*"	"*Allosphingosinicella*"	"**Unidentified species**"	"*Sphingomonadaceae*, *Allosphingosinicella*"	"*Sphingomonadaceae*, *Allosphingosinicella* (QpsNitrifying4mlFrozenRep1_complete.20)"	"Combined data"	""	"Combined"
"QpsNitrifying4mlFrozenRep1_complete.25"	"NitrifyingCombined.fastq.gz"	7.6154	96.84	0.61	"d__Bacteria"	"*Armatimonadota*"	"*Fimbriimonadia*"	"*Fimbriimonadales*"	"*Fimbriimonadaceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Fimbriimonadaceae*, **Unidentified genus**"	"*Fimbriimonadaceae*, **Unidentified genus** (QpsNitrifying4mlFrozenRep1_complete.25)"	"Combined data"	""	"Combined"
"QpsNitrifying4mlFrozenRep1_complete.32"	"NitrifyingCombined.fastq.gz"	1.0664	100	1.73	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Aquamicrobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Aquamicrobium_A*"	"*Rhizobiaceae*, *Aquamicrobium_A* (QpsNitrifying4mlFrozenRep1_complete.32)"	"Combined data"	""	"Combined"
"QpsNitrifying4mlFrozenRep1_complete.35"	"NitrifyingCombined.fastq.gz"	4.4616	97.66	1.39	"d__Bacteria"	"*Actinomycetota*"	"*Actinomycetes*"	"*Actinomycetales*"	"*Microbacteriaceae*"	"*Terrimesophilobacter*"	"**Unidentified species**"	"*Microbacteriaceae*, *Terrimesophilobacter*"	"*Microbacteriaceae*, *Terrimesophilobacter* (QpsNitrifying4mlFrozenRep1_complete.35)"	"Combined data"	""	"Combined"
